Alumna Circle Status,Last (Family) Name,First (Given) Name,Encoded ID,Current Region,Current Subregion,Current Circle ID,Current Co-Leader?,Current/ Continuing Meeting Day,Current/ Continuing Meeting Time,GSB Degree,GSB Class Year,Requested Region From Form,1st Choice Subregion/ Time Zone,2nd Choice Subregion/ Time Zone,3rd Choice Subregion/ Time Zone,"If Can't Place In-Person, Open to Virtual-Only?",1st Choice Days and Times of Week,2nd Choice Days and Times of Week,3rd Choice Days and Times of Week,Days & Times Additional Info,Employment Status,Industry Sector,Racial Identity,Gender Identity,Sexual Orientation,Relationship Status,Children,Special Needs?,Volunteering to Host?,(Non CLs) Volunteering to Co-Lead?,Co-Leader Response: Meeting Format,Co-Leader Response: Hosts,Co-Leader Response: Max New Member Requested,Co-Leader Response: Anything You are Looking for in New Members,Co-Leader Response: Day(s),Co-Leader Response: Times,Co-Leader Response:  CL in 2025?,Completed Form? Y/P,Preferred Email,Home City,Home State,Home Country,Home Phone,Business City,Business State,Business Country,Business Phone,Mobile Phone,"If already in 2 Circles, list both regions","If asking to join 2nd Circle, what is the 2nd region?",Additional Comments From Form,Region Edit Made by tar
Current-CONTINUING,Last Name 15,First Name 15,70630353148,Atlanta,Atlanta,IP-ATL-1,No,Varies,Varies,MBA,2014,,,,,,,,,,Employed full-time for wages,Technology,Black or African American,Cis-gender female,Straight,Single,No children,,Sometimes Host,,,,,,,,,N,Email 15,Atlanta,GA,United States,,,,,,,,,,
Current-CONTINUING,Last Name 26,First Name 26,52177560777,Atlanta,Atlanta,IP-ATL-1,Yes,Varies,Varies,MBA,1992,,,,,,,,,,Employed full-time for wages,Non-profit,White or European,Woman,Straight,Married,Adult children,No,Sometimes,,Sometimes meet in person and sometimes meet online,Tatiana Nemo,None,All good,Tuesday,Evenings,Yes,Y,Email 26,Atlanta,GA,United States,(404) 229-4686,,,,,(404) 229-4686,,,,
Current-CONTINUING,Last Name 168,First Name 168,59599014327,Atlanta,Atlanta,IP-ATL-1,Yes,Varies,Varies,MBA,2001,,,,,,,,,,Employed full-time for wages,Consumer Products,Asian or Pacific Islander,Cis-gender female,Straight,Single,No children,,Sometimes Host,,,,,,,,,N,Email 168,Atlanta,GA,United States,,Atlanta,GA,United States,(404) 551-5201,(650) 814-5997,,,,
Current-CONTINUING,Last Name 406,First Name 406,55648351576,Atlanta,Atlanta,IP-ATL-1,No,Varies,Varies,MBA,1996,,,,,,,,,,Retired,Consulting,Asian or Asian American,Woman,Straight,Married,Adult children,No,Sometimes,No,,,0,,,,,Y,Email 406,Brookhaven,GA,United States,,,,,,(404) 386-8809,,,,
Current-CONTINUING,Last Name 514,First Name 514,65677190252,Atlanta,Atlanta,IP-ATL-1,No,Varies,Varies,MBA,2006,,,,,,,,,,Employed full-time for wages,"Consulting,Healthcare,Non-profit,Technology",Asian or Asian American,Woman,Straight,Married,Children 6 through 17,No,Sometimes,Yes,,,0,,,,,Y,Email 514,Atlanta,GA,United States,,Atlanta,GA,United States,,,,,,
Current-CONTINUING,Last Name 638,First Name 638,49803272219,Atlanta,Atlanta,IP-ATL-1,No,Varies,Varies,MBA,1989,,,,,,,,,,Retired,Real Estate,White or European,Woman,Straight,Single,No children,No,Sometimes,No,,,,,,,,Y,Email 638,,,,,,,,,(678) 777-0012,"Virtual-Only Americas, Atlanta",,,
Current-CONTINUING,Last Name 677,First Name 677,74633862255,Atlanta,Atlanta,IP-ATL-1,No,Varies,Varies,MBA,2020,,,,,,,,,,Employed full-time for wages,Consulting,"Black or African American,White or European",Woman,Straight,Married,Children 5 and under,No,Sometimes,No,,,0,,,,,Y,Email 677,Atlanta,GA,United States,,Atlanta,GA,United States,,(786) 444-5737,,,,
Current-CONTINUING,Last Name 707,First Name 707,63612305378,Atlanta,Atlanta,IP-ATL-1,No,Varies,Varies,MBA,2004,,,,,,,,,,Employed full-time for wages,"Consulting,Consumer Products,Non-profit,Technology",White or European,Woman,Straight,Married,No children,No,Sometimes,No,,,0,,,,,Y,Email 707,Atlanta,GA,United States,,,,,,(404) 387-1355,,,,
Current-CONTINUING,Last Name 714,First Name 714,57102878932,Atlanta,Atlanta,IP-ATL-1,Yes,Varies,Varies,MBA,1998,,,,,,,,,,Employed full-time for wages,Finance,White or European,Woman,Straight,Married,Children 6 through 17,No,Always,,Sometimes meet in person and sometimes meet online,Varies,6,"Nothing specific, just an interest to join",Tuesday,Evenings,Yes,Y,Email 714,Atlanta,GA,United States,(678) 705-2483,Atlanta,GA,United States,(404) 439-3329,(404) 683-9409,,,,
Current-CONTINUING,Last Name 846,First Name 846,69348948307,Atlanta,Atlanta,IP-ATL-1,No,Varies,Varies,MBA,2020,,,,,,,,,,Employed full-time for wages,Consulting,White or European,Woman,Straight,Single,No children,No,Sometimes,No,,,0,,,,,Y,Email 846,Atlanta,GA,United States,(770) 380-5280,,,,,,,,,
