Alumna Circle Status,Last (Family) Name,First (Given) Name,Encoded ID,Current Region,Current Subregion,Current Circle ID,Current Co-Leader?,Current/ Continuing Meeting Day,Current/ Continuing Meeting Time,GSB Degree,GSB Class Year,Requested Region From Form,1st Choice Subregion/ Time Zone,2nd Choice Subregion/ Time Zone,3rd Choice Subregion/ Time Zone,"If Can't Place In-Person, Open to Virtual-Only?",1st Choice Days and Times of Week,2nd Choice Days and Times of Week,3rd Choice Days and Times of Week,Days & Times Additional Info,Employment Status,Industry Sector,Racial Identity,Gender Identity,Sexual Orientation,Relationship Status,Children,Special Needs?,Volunteering to Host?,(Non CLs) Volunteering to Co-Lead?,Co-Leader Response: Meeting Format,Co-Leader Response: Hosts,Co-Leader Response: Max New Member Requested,Co-Leader Response: Anything You are Looking for in New Members,Co-Leader Response: Day(s),Co-Leader Response: Times,Co-Leader Response:  CL in 2025?,Completed Form? Y/P,Preferred Email,Home City,Home State,Home Country,Home Phone,Business City,Business State,Business Country,Business Phone,Mobile Phone,"If already in 2 Circles, list both regions","If asking to join 2nd Circle, what is the 2nd region?",Additional Comments From Form,Region Edit Made by tar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current-CONTINUING,Last Name 12,First Name 12,74789438905,Virtual-Only APAC+EMEA,"GMT+1 (Central European Time: Berlin, Madrid, Paris, Rome)",VO-AE-GMT+1-01,Yes,Varies,Evenings,SLO,2020,,,,,,,,,,"Employed full-time for wages,Self-employed",Technology,White or European,Woman,Straight,Married,Children 6 through 17,No,,,Meet online,,None,,Thursday,Evenings,No,Y,Email 12,Carcavelos,,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current-CONTINUING,Last Name 13,First Name 13,48078210489,Virtual-Only APAC+EMEA,"GMT+8 (Hong Kong Time / China Taiwan Time / Singapore Standard Time: Hong Kong, Shanghai, Singapore)",VO-AE-GMT+8-01,No,Varies,Days,MBA,1987,,,,,,,,,,Self-employed,Education,White or European,Woman,Straight,Divorced,Adult children,No,,No,,,0,,,,,Y,Email 13,Tokyo,,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current-CONTINUING,Last Name 19,First Name 19,57197119612,Virtual-Only Americas,"GMT-6 (Central Standard Time: Austin, Chicago, Houston, Mexico City)",VO-AM-GMT-6-01,Yes,Tuesday,Evenings,MBA,1998,,,,,,,,,,"Looking for work,Unemployed,Volunteer,Other (specify)",Finance,White or European,Woman,Straight,Married,"Children 6 through 17,Adult children",No,,,Meet online,,None,N/a,Tuesday,Evenings,Yes,Y,Email 19,Mason,OH,United States,(513) 770-0226,,,,,(650) 303-4939,,,Thanks for all you do!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current-CONTINUING,Last Name 21,First Name 21,63625695905,Virtual-Only Americas,"GMT-5 (Eastern Standard Time: Boston, Montreal, New York City, Toronto, Washington, D.C.)",VO-AM-GMT-5-04,No,Wednesday,Evenings,MBA,2004,,,,,,,,,,Unemployed,Technology,White or European,Woman,Straight,Married,Children 6 through 17,No,,No,,,0,,,,,Y,Email 21,Washington,DC,United States,,Arlington,VA,United States,,(415) 496-5316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current-CONTINUING,Last Name 22,First Name 22,67037447105,Virtual-Only Americas,"GMT-8 (Pacific Standard Time: Los Angeles, San Diego, San Francisco, Seattle)",VO-AM-GMT-8-06,Yes,Monday,Evenings,MBA,2009,,,,,,,,,,Employed full-time for wages,Technology,White,Cis-gender female,Straight,Married,Children 6-18,,n/a,,,,,,,,,N,Email 22,Ladera Ranch,CA,United States,(415) 968-9711,Mission Viejo,CA,United States,,(415) 968-9711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current-CONTINUING,Last Name 27,First Name 27,69065560220,Virtual-Only Americas,"GMT-5 (Eastern Standard Time: Boston, Montreal, New York City, Toronto, Washington, D.C.)",VO-AM-GMT-5-08,No,Tuesday,Days,MBA,2012,,,,,,,,,,"Full-time parent or caregiver,Looking for work",Technology,White or European,Woman,Straight,Married,"Children 5 and under,Children 6 through 17",No,,No,,,0,,,,,Y,Email 27,Ft Lauderdale,FL,United States,,,,,,(415) 609-1724,,,,9/28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current-CONTINUING,Last Name 31,First Name 31,66887009952,Virtual-Only Americas,"GMT-6 (Central Standard Time: Austin, Chicago, Houston, Mexico City)",VO-AM-GMT-6-04,No,M-Th,Evenings,MBA,2010,,,,,,,,,,Employed full-time for wages,Agriculture,White or European,Woman,Straight,Married,Children 6 through 17,No,,No,,,0,,,,,Y,Email 31,Minneapolis,MN,United States,,,,,,(651) 210-3322,,,,9/28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current-CONTINUING,Last Name 32,First Name 32,58270737671,Virtual-Only Americas,"GMT-6 (Central Standard Time: Austin, Chicago, Houston, Mexico City)",VO-AM-GMT-6-01,Yes,Tuesday,Evenings,MBA,1999,,,,,,,,,,Employed full-time for wages,Finance,Black or African American,Cis-gender female,Straight,Married,"Children 6-18,Adult Children",,n/a,,,,,,,,,N,Email 32,Westerville,OH,United States,,,,,,(614) 668-5399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current-CONTINUING,Last Name 38,First Name 38,44746832274,Virtual-Only APAC+EMEA,"GMT+1 (Central European Time: Berlin, Madrid, Paris, Rome)",VO-AE-GMT+1-07,Yes,Varies,Evenings,MBA,1992,,,,,,,,,,Self-employed,Consulting,White or European,Woman,Straight,Divorced,No children,No,,,Meet online,,2,,Varies each month,Days,Yes,Y,Email 38,Amsterdam,,Netherlands,610267703,Amsterdam,,Netherlands,610267703,610267703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current-CONTINUING,Last Name 46,First Name 46,58854681952,Virtual-Only Americas,"GMT-5 (Eastern Standard Time: Boston, Montreal, New York City, Toronto, Washington, D.C.)",VO-AM-GMT-5-09,No,M-Th,Evenings,SLO,1999,,,,,,,,,,Other (specify),"Agriculture,Other (specify)",White or European,Woman,Straight,Married,Adult children,No,,No,,,0,,,,,Y,Email 46,Bonita Springs,FL,United States,,,,,,(201) 253-6737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
